[2016-11-18 16:54:05.080]		推广：http://fan.test.lacues.cn/cart.html__fan.test.lacues.cn____
[2016-11-18 16:54:08.130]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.5154119429326869__fan.test.lacues.cn____
[2016-11-18 16:54:28.578]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.10396515618590496__fan.test.lacues.cn____
[2016-11-18 16:54:43.292]		推广：__fan.test.lacues.cn____
[2016-11-18 16:54:45.166]		推广：__fan.test.lacues.cn____
[2016-11-18 16:54:49.066]		推广：__fan.test.lacues.cn____
[2016-11-18 16:56:10.562]		推广：__fan.test.lacues.cn____
[2016-11-18 16:56:13.182]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 16:56:14.830]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7326575820334256__fan.test.lacues.cn____
[2016-11-18 16:57:05.878]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 16:57:08.322]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7326575820334256__fan.test.lacues.cn____
[2016-11-18 16:57:12.934]		推广：__fan.test.lacues.cn____
[2016-11-18 16:57:26.747]		推广：http://test.pay.lacues.cn/createorder/?c_order=OS1425103__fan.test.lacues.cn____
[2016-11-18 16:58:41.065]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7326575820334256__fan.test.lacues.cn____
[2016-11-18 17:00:25.034]		推广：__fan.test.lacues.cn____
[2016-11-18 17:00:34.622]		推广：http://test.pay.lacues.cn/createorder/?c_order=OS1425103__fan.test.lacues.cn____
[2016-11-18 17:01:16.090]		推广：__fan.test.lacues.cn____
[2016-11-18 17:01:45.800]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.7326575820334256__fan.test.lacues.cn____
[2016-11-18 17:16:32.923]		推广：__fan.test.lacues.cn____
[2016-11-18 17:17:07.845]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
